%time,field.header.seq,field.header.stamp,field.header.frame_id,field.position.lon,field.position.lat,field.position.height,field.pitch,field.roll,field.heading,field.linear_velocity.x,field.linear_velocity.y,field.linear_velocity.z,field.linear_acceleration.x,field.linear_acceleration.y,field.linear_acceleration.z,field.angular_velocity.x,field.angular_velocity.y,field.angular_velocity.z,field.rtk_flag,field.odom_type,field.auxiliary_type,field.location_valid_flag,field.origin_lat,field.origin_lon,field.utm_position.x,field.utm_position.y,field.utm_position.z,field.change_origin_flag,field.utm_position_next.x,field.utm_position_next.y,field.utm_position_next.z,field.position_std_dev.x,field.position_std_dev.y,field.position_std_dev.z,field.orientation_std_dev.x,field.orientation_std_dev.y,field.orientation_std_dev.z,field.linear_velocity_std_dev.x,field.linear_velocity_std_dev.y,field.linear_velocity_std_dev.z,field.linear_acceleration_std_dev.x,field.linear_acceleration_std_dev.y,field.linear_acceleration_std_dev.z,field.angular_velocity_std_dev.x,field.angular_velocity_std_dev.y,field.angular_velocity_std_dev.z
1665537727881508147,385139,1665484660126059832,location,114.33334559999999,30.48874939999999,32.89100000000021,-0.019745328706832762,0.033367169733042115,-1.9536579299779242,-4.384135599999998,9.827631300000002,0.22087970000000237,-0.702254169455997,-0.009619417046396812,9.7221383323456,0.007269532795005737,0.006071126165655738,0.0031416877383557374,3,1,0,1,30.425457029885372,114.09623523096009,-1579.737489493792,-16787.816537551917,32.89100000000021,1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1665537727890665861,385140,1665484660136024088,location,114.33334669999999,30.48874909999999,32.88900000000021,-0.019745328706832762,0.03355891160466621,-1.9538496718495484,-4.3810838999999975,9.821527900000003,0.22087970000000237,-0.5723851533791969,-0.14910836023999682,9.897702002227199,0.004606406952005737,0.007935314255755737,0.0023427499854557373,3,1,0,1,30.425457029885372,114.09623523096009,-1579.7774087294624,-16787.915603174086,32.88900000000021,1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1665537727902670239,385141,1665484660146040440,location,114.33334769999999,30.48874869999999,32.88600000000021,-0.019745328706832762,0.03355891160466621,-1.9538496718495484,-4.3810838999999975,9.812372800000002,0.22087970000000237,-0.7154815692415969,0.1803741435104032,9.790680313052798,0.0043400943677057375,0.005005875828455736,0.001943281109005737,3,1,0,1,30.425457029885372,114.09623523096009,-1579.817297181818,-16788.014592402804,32.88600000000021,1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1665537727910919221,385142,1665484660156014840,location,114.33334869999999,30.48874829999999,32.88500000000021,-0.019553586835208667,0.03355891160466621,-1.9538496718495484,-4.374980499999998,9.803217700000003,0.21477630000000236,-0.5940299893919969,0.026455309641603194,9.922954310908798,-0.0007198447339942628,0.003274844030505737,0.002475906277605737,3,1,0,1,30.425457029885372,114.09623523096009,-1579.85728337179,-16788.1138241822,32.88500000000021,1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1665537727920810532,385143,1665484660166011480,location,114.33334969999999,30.48874789999999,32.88200000000021,-0.019553586835208667,0.03355891160466621,-1.9538496718495484,-4.371928799999997,9.791010900000003,0.21477630000000236,-0.7467463323711969,-0.06613648885759682,9.550182135132799,0.0012774996482557372,0.00034540560320573717,0.003408000322655737,3,1,0,1,30.425457029885372,114.09623523096009,-1579.897261407504,-16788.213035725574,32.88200000000021,1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1665537727936128281,385144,1665484660176031096,location,114.33335069999998,30.48874749999999,32.88000000000021,-0.019553586835208667,0.03355891160466621,-1.9538496718495484,-4.374980499999998,9.787959200000003,0.20867290000000238,-0.7960484588447969,-0.10822366999359682,9.482842645315198,0.0008780307718057371,0.006204282457805737,7.909301890573712e-05,3,1,0,1,30.425457029885372,114.09623523096009,-1579.936915481167,-16788.31144330811,32.88000000000021,1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1665537727944196952,385145,1665484660186023512,location,114.33335179999999,30.48874709999999,32.878000000000206,-0.019553586835208667,0.03355891160466621,-1.9538496718495484,-4.368877099999998,9.778804100000002,0.21172460000000237,-0.705861642124797,-0.11784359711039684,9.837577457747198,-0.002317720239794263,0.008201626840055737,0.002742218861905737,3,1,0,1,30.425457029885372,114.09623523096009,-1579.9764538281402,-16788.409563697358,32.878000000000206,1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1665537727952022832,385146,1665484660196011672,location,114.33335279999999,30.48874669999999,32.87600000000021,-0.019553586835208667,0.03355891160466621,-1.9538496718495484,-4.365825399999998,9.769649000000003,0.21172460000000237,-0.752758786819197,-0.15993077824639684,9.649988878969598,0.003807469199105737,0.003940625491255737,0.0028753751540557372,3,1,0,1,30.425457029885372,114.09623523096009,-1580.0160269739458,-16788.507770445172,32.87600000000021,1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1665537727960650120,385147,1665484660206011768,location,114.33335379999998,30.488746299999992,32.87400000000021,-0.01936184496358457,0.03355891160466621,-1.9538496718495484,-4.359721999999998,9.763545600000002,0.21172460000000237,-0.6757993698847968,0.024050327862403194,9.749795622806399,0.003807469199105737,0.001943281109005737,0.002475906277605737,3,1,0,1,30.425457029885372,114.09623523096009,-1580.0556375772633,-16788.606070149468,32.87400000000021,1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1665537727971767729,385148,1665484660216017464,location,114.33335479999998,30.48874589999999,32.872000000000206,-0.01936184496358457,0.03355891160466621,-1.9540414137211726,-4.353618599999998,9.748287100000002,0.20867290000000238,-0.853768021545597,-0.03847919839679682,9.812325149065598,-0.003516126869144263,0.0007448744796557372,0.004739563244155738,3,1,0,1,30.425457029885372,114.09623523096009,-1580.095237309639,-16788.704288547055,32.872000000000206,1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
